threshold,lambda,precision,recall,n_predicted,predpos,acc
0.18367346938775508,0.08163265306122448,1.0,0.06557377049180328,4,0.021621621621621623,0.06557377049180328
0.18367346938775508,0.1020408163265306,1.0,0.06557377049180328,4,0.021621621621621623,0.06557377049180328
0.18367346938775508,0.12244897959183673,1.0,0.06557377049180328,4,0.021621621621621623,0.06557377049180328
0.18367346938775508,0.14285714285714285,1.0,0.06557377049180328,4,0.021621621621621623,0.06557377049180328
0.18367346938775508,0.16326530612244897,1.0,0.06557377049180328,4,0.021621621621621623,0.06557377049180328
0.18367346938775508,0.18367346938775508,1.0,0.06557377049180328,4,0.021621621621621623,0.06557377049180328
0.18367346938775508,0.2040816326530612,1.0,0.06557377049180328,4,0.021621621621621623,0.06557377049180328
0.18367346938775508,0.22448979591836732,1.0,0.06557377049180328,4,0.021621621621621623,0.06557377049180328
0.18367346938775508,0.24489795918367346,1.0,0.06557377049180328,4,0.021621621621621623,0.06557377049180328
0.18367346938775508,0.26530612244897955,1.0,0.06557377049180328,4,0.021621621621621623,0.06557377049180328
0.18367346938775508,0.2857142857142857,1.0,0.06557377049180328,4,0.021621621621621623,0.06557377049180328
0.18367346938775508,0.3061224489795918,1.0,0.06557377049180328,4,0.021621621621621623,0.06557377049180328
0.18367346938775508,0.32653061224489793,1.0,0.06557377049180328,4,0.021621621621621623,0.06557377049180328
0.18367346938775508,0.3469387755102041,1.0,0.06557377049180328,4,0.021621621621621623,0.06557377049180328
0.18367346938775508,0.36734693877551017,1.0,0.06557377049180328,4,0.021621621621621623,0.06557377049180328
0.18367346938775508,0.3877551020408163,1.0,0.06557377049180328,4,0.021621621621621623,0.06557377049180328
0.18367346938775508,0.4081632653061224,1.0,0.06557377049180328,4,0.021621621621621623,0.06557377049180328
0.18367346938775508,0.42857142857142855,1.0,0.06557377049180328,4,0.021621621621621623,0.06557377049180328
0.18367346938775508,0.44897959183673464,1.0,0.06557377049180328,4,0.021621621621621623,0.06557377049180328
0.18367346938775508,0.4693877551020408,1.0,0.06557377049180328,4,0.021621621621621623,0.06557377049180328
0.18367346938775508,0.4897959183673469,1.0,0.06557377049180328,4,0.021621621621621623,0.06557377049180328
0.18367346938775508,0.5102040816326531,1.0,0.06557377049180328,4,0.021621621621621623,0.06557377049180328
0.18367346938775508,0.5306122448979591,1.0,0.06557377049180328,4,0.021621621621621623,0.06557377049180328
0.18367346938775508,0.5510204081632653,1.0,0.06557377049180328,4,0.021621621621621623,0.06557377049180328
0.18367346938775508,0.5714285714285714,1.0,0.06557377049180328,4,0.021621621621621623,0.06557377049180328
0.18367346938775508,0.5918367346938775,1.0,0.06557377049180328,4,0.021621621621621623,0.06557377049180328
0.18367346938775508,0.6122448979591836,1.0,0.06557377049180328,4,0.021621621621621623,0.06557377049180328
